Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI 🏆,W/10 👍,I/10 💡,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore 🏆,Reg+Int 🏆,MyScore 🏆,ASSS⬇️,SMOG⬆️,Yule⬇️,Score 🏆,Dif,Cor,Std,Foundation
9/13/2023,,70,70.0,70.0,jondurbin/spicyboros-70b-2.2,https://huggingface.co/jondurbin/spicyboros-70b-2.2,41.75,7.272727273,4.436302678,56.7,31.8,54.9,41.4,24.0,0.208,0.447,0.05,6.47,8.27,1.53,0.254,1.87,0.13,1.25,0
6/5/2024,,70,70.0,70.0,bosonai/Higgs-Llama-3-70B,https://huggingface.co/bosonai/Higgs-Llama-3-70B,41.66,1.818181818,5.044444444,55.8,61.9,33.7,28.1,28.7,0.327,0.500,0.20,6.77,9.36,1.50,0.157,2.73,0.26,1.53,0
8/14/2024,8/15/2024,12,12.0,12.0,TheDrummer/Rocinante-12B-v1,https://huggingface.co/TheDrummer/Rocinante-12B-v1,41.47,8.181818182,3.102969345,70.0,21.5,33.2,39.0,43.7,0.199,0.279,0.15,7.23,8.14,1.37,0.103,2.27,-0.04,1.12,0
7/12/2024,,9,9.0,9.0,TheDrummer/Tiger-Gemma-9B-v1,https://huggingface.co/TheDrummer/Tiger-Gemma-9B-v1,41.06,9.090909091,1.844585908,83.3,10.0,42.6,41.4,28.0,0.156,0.161,0.15,8.53,9.33,1.78,0.105,2.40,0.09,0.85,0
6/19/2024,9/10/2024,70,70.0,70.0,dreamgen/opus-v1.4-70b-llama3,https://huggingface.co/dreamgen/opus-v1.4-70b-llama3-gguf,41.05,5.272727273,4.975645738,61.7,40.5,32.0,34.1,37.0,0.211,0.304,0.30,10.05,6.36,2.42,0.311,1.93,0.28,2.07,0
7/16/2024,7/24/2024,9,9.0,9.0,TheDrummer/Tiger-Gemma-9B-v2,https://huggingface.co/TheDrummer/Tiger-Gemma-9B-v2,41.01,8.545454545,2.213230061,65.0,20.0,42.4,47.5,30.2,0.223,0.297,0.10,6.38,7.99,1.65,0.097,2.40,0.01,1.00,0
5/16/2024,,70,70.0,70.0,jukofyork/Dusk-Miqu-70B,https://huggingface.co/jukofyork/Dusk-Miqu-70B,40.93,2.727272727,5.377759952,46.7,41.4,27.4,39.8,49.3,0.243,0.376,0.25,8.39,9.35,1.38,0.104,2.20,-0.01,0.88,0
5/28/2024,,8x22B,39.0,141.0,cognitivecomputations/dolphin-2.9.2-mixtral-8x22b,https://huggingface.co/cognitivecomputations/dolphin-2.9.2-mixtral-8x22b,40.71,5.454545455,5.091007839,39.2,24.7,51.8,46.6,41.3,0.301,0.317,0.30,7.75,10.03,1.18,0.017,2.60,-0.42,0.81,0
7/14/2024,,27,27.0,27.0,TheDrummer/Big-Tiger-Gemma-27B-v1,https://huggingface.co/TheDrummer/Big-Tiger-Gemma-27B-v1,40.66,7.272727273,3.808641214,65.0,31.8,54.2,40.3,12.0,0.141,0.310,0.05,6.37,7.92,1.51,0.167,2.20,0.10,1.58,0
7/18/2024,7/24/2024,12,12.0,12.0,mistralai/Mistral-Nemo-Instruct-2407,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,40.57,9.090909091,2.886284737,53.3,12.1,33.9,49.9,53.7,0.221,0.272,0.15,5.50,6.89,2.09,0.130,2.20,0.00,1.22,1
